id_job,gpu_id,avgmemoryutilization_pct,avgsmutilization_pct,memoryutilization_pct_avg,pcierxbandwidth_megabytes_avg,pcietxbandwidth_megabytes_avg,totalexecutiontime_sec,powerusage_watts_avg
922120820,1,31.0,97.0,31.0,1098.0,1054.0,443941.0,181.319
922120820,0,31.0,97.0,32.0,1068.0,1042.0,443941.0,184.827
922120820,1,30.0,97.0,31.0,1100.0,1104.0,443941.0,183.09
922120820,1,30.0,97.0,31.0,1085.0,1065.0,443941.0,186.438
922120820,0,31.0,97.0,32.0,1107.0,1129.0,443941.0,187.391
922120820,1,30.0,96.0,31.0,1096.0,1097.0,443941.0,188.767
922120820,0,31.0,97.0,32.0,1069.0,1038.0,443941.0,180.031
922120820,1,30.0,97.0,31.0,1060.0,1095.0,443941.0,177.276
922120820,0,31.0,97.0,32.0,1068.0,1066.0,443941.0,188.812
922120820,0,31.0,97.0,32.0,1066.0,1044.0,443941.0,188.361
922120820,1,30.0,97.0,31.0,1088.0,1105.0,443941.0,171.218
949458505,1,0.0,0.0,0.0,273.0,1828.0,280.64,26.5674
949458505,0,0.0,0.0,0.0,959.0,526.0,280.69,25.4575
949458505,0,0.0,0.0,0.0,1072.0,70.0,280.65,26.2959
949458505,1,0.0,0.0,0.0,322.0,753.0,280.65,24.5431
949458505,0,0.0,0.0,0.0,951.0,1991.0,280.7,26.6249
949458505,1,0.0,0.0,0.0,951.0,1079.0,280.65,25.708
949458505,1,0.0,0.0,0.0,1601.0,517.0,280.7,26.0463
949458505,0,0.0,0.0,0.0,287.0,1442.0,280.65,25.2476
949458505,0,0.0,0.0,0.0,709.0,1899.0,280.65,27.6899
949458505,1,0.0,0.0,0.0,1701.0,1761.0,280.65,25.8468
949458505,1,0.0,0.0,0.0,1723.0,1719.0,280.63,25.5613
949458505,0,0.0,0.0,0.0,948.0,1724.0,280.63,25.8723
949458505,1,0.0,0.0,0.0,1851.0,842.0,280.69,25.1872
949458505,0,0.0,0.0,0.0,685.0,2005.0,280.69,24.8665
949458505,1,0.0,0.0,0.0,1377.0,1142.0,280.69,26.6369
949458505,0,0.0,0.0,0.0,1950.0,424.0,280.64,25.9025
964768373,1,4.0,8.0,4.0,204.0,134.0,1507.36,51.162
964768373,0,2.0,6.0,2.0,182.0,139.0,1507.36,44.6527
964768373,1,1.0,3.0,1.0,132.0,181.0,1507.35,41.0212
964768373,0,1.0,3.0,1.0,126.0,159.0,1507.35,39.1836
964768373,0,3.0,7.0,3.0,181.0,146.0,1507.38,47.7677
964768373,1,4.0,8.0,4.0,418.0,611.0,1507.41,46.3944
964768373,1,2.0,5.0,2.0,165.0,158.0,1507.36,43.3816
964768373,0,2.0,5.0,2.0,170.0,159.0,1507.36,45.9813
964768373,1,3.0,7.0,3.0,206.0,194.0,1507.38,47.369
964768373,1,4.0,8.0,4.0,218.0,158.0,1507.36,48.7531
964768373,0,1.0,3.0,1.0,357.0,663.0,1507.37,45.8674
964768373,1,1.0,3.0,1.0,145.0,178.0,1507.36,41.0435
964768373,0,1.0,4.0,1.0,138.0,126.0,1507.37,40.8545
964768373,1,3.0,6.0,3.0,184.0,153.0,1507.37,49.0169
964768373,0,1.0,3.0,1.0,139.0,137.0,1507.36,40.2785
964768373,0,1.0,4.0,1.0,143.0,136.0,1507.37,41.2644
964768373,0,3.0,6.0,3.0,377.0,497.0,1507.37,49.4027
964768373,1,2.0,5.0,2.0,166.0,195.0,1507.37,45.7578
964768373,0,2.0,5.0,2.0,175.0,171.0,1507.37,43.1796
964768373,1,5.0,10.0,5.0,489.0,856.0,1507.37,44.8285
964768373,1,2.0,5.0,2.0,382.0,662.0,1507.37,42.3073
964768373,1,1.0,4.0,2.0,160.0,173.0,1507.37,46.0324
964768373,0,1.0,3.0,1.0,144.0,170.0,1507.37,39.5222
964768373,0,2.0,5.0,2.0,373.0,570.0,1507.37,43.3196
964768373,1,2.0,4.0,2.0,152.0,177.0,1507.37,45.6126
964768373,1,1.0,4.0,2.0,151.0,145.0,1507.36,42.3976
